"features","levels","decision","supportLHS","supportRHS","accuracyRHS","coverageLHS","coverageRHS","stabilityLHS","stabilityRHS","supportRatioLHS","supportRatioRHS","pValue","riskRatio","pValueRiskRatio","confIntRiskRatio"
"PIGV,SH3GLB1","medium,low","Sensitive",7,6,0.85714,0.0614,0.10169,1,1,0.10938,0.09375,1,5.90625,1,"0.732:47.667"
"INTS6,SH3GLB1","medium,low","Sensitive",10,9,0.9,0.08772,0.15254,1,1,0.15625,0.14062,1,8.859375,1,"1.156:67.895"
"LYSMD2,C16orf58","low,low","Sensitive",9,8,0.92963,0.07895,0.1429,1,1,0.14062,0.125,1,7.875,1,"1.014:61.145"
"KIF21B,TUFT1","medium,low","Sensitive",10,8,0.89444,0.08333,0.14674,1,1,0.15625,0.125,1,3.9375,1,"0.87:17.823"
"PXMP4,STOML2","medium,high","Sensitive",10,9,0.92727,0.08772,0.15943,1,1,0.15625,0.14062,1,8.859375,1,"1.156:67.895"
"SERINC3,TUFT1","medium,low","Sensitive",11,10,0.90909,0.09649,0.16949,1,1,0.17188,0.15625,1,9.84375,1,"1.298:74.651"
"TUFT1,TTC30A","high,medium","Resistant",7,7,1,0.0614,0.12727,1,1,0.11111,0.11111,1,Inf,1,"-Inf:Inf"
"SERINC3,TRIM38","low,medium","Sensitive",6,6,1,0.05263,0.10345,1,1,0.09375,0.09375,1,Inf,1,"-Inf:Inf"
"BPIFB1,SERINC3","high,low","Sensitive",8,7,0.89722,0.07018,0.12791,1,1,0.125,0.10938,1,6.890625,1,"0.873:54.401"
"ZNF207,SERINC3","low,low","Sensitive",8,7,0.89583,0.06991,0.12642,1,1,0.125,0.10938,1,6.890625,1,"0.873:54.401"
"EGFR,LARP4","high,high","Resistant",7,7,1,0.0632,0.12661,1,1,0.11111,0.11111,1,Inf,1,"-Inf:Inf"
"STOML2,AC116913.1","high,low","Sensitive",8,7,0.875,0.07018,0.12069,1,1,0.125,0.10938,1,6.890625,1,"0.873:54.401"
"SPATA24,TRIM38","medium,medium","Sensitive",8,4,0.5,0.07018,0.07143,1,1,0.125,0.0625,1,0.984375,1,"0.257:3.765"
"WASF3,TGFB2","high,high","Resistant",5,5,1,0.04386,0.08929,1,1,0.07937,0.07937,1,Inf,1,"-Inf:Inf"
"AQR,TGFB2","high,high","Resistant",6,5,0.83333,0.05263,0.08929,1,1,0.09524,0.07937,1,5.07936507936508,1,"0.61:42.261"
"SERINC3,TRABD","low,medium","Sensitive",11,10,0.90909,0.09649,0.17241,1,1,0.17188,0.15625,1,9.84375,1,"1.298:74.651"
"PCOLCE2,TGFB2","low,high","Resistant",10,9,0.9,0.08772,0.16071,1,1,0.15873,0.14286,1,9.14285714285714,1,"1.193:70.068"
"H2AC20,TGFB2","high,high","Resistant",4,4,1,0.03509,0.07143,1,1,0.06349,0.06349,1,Inf,1,"-Inf:Inf"
"SGCE,MSH2","high,high","Resistant",5,5,1,0.04144,0.08503,1,1,0.07937,0.07937,1,Inf,1,"-Inf:Inf"
"SSBP1,SERINC3","low,low","Sensitive",6,5,0.83333,0.05263,0.08621,1,1,0.09375,0.07812,1,4.921875,1,"0.592:40.95"
"INTS6,PCDH7","low,high","Resistant",10,9,0.9,0.08772,0.16071,1,1,0.15873,0.14286,1,9.14285714285714,1,"1.193:70.068"
"SERINC3,C16orf58","low,high","Sensitive",5,4,0.8,0.04386,0.06897,1,1,0.07812,0.0625,1,3.9375,1,"0.452:34.263"
"LYSMD2,C16orf58","medium,high","Resistant",9,8,0.88889,0.07895,0.14286,1,1,0.14286,0.12698,1,8.12698412698413,1,"1.047:63.101"
"PRPF40A,TGFB2","high,high","Resistant",1,1,1,0.00877,0.01786,1,1,0.01587,0.01587,1,Inf,1,"-Inf:Inf"
"KIF21B,EGFR","high,medium","Sensitive",8,7,0.875,0.07018,0.12281,1,1,0.125,0.10938,1,6.890625,1,"0.873:54.401"
"AQR,ROPN1L","low,high","Resistant",9,8,0.88889,0.07895,0.14035,1,1,0.14286,0.12698,1,8.12698412698413,1,"1.047:63.101"
"ZNF207,WASF3","high,low","Resistant",6,5,0.83333,0.05263,0.08772,1,1,0.09524,0.07937,1,5.07936507936508,1,"0.61:42.261"
"SERINC3,EGFR","high,low","Resistant",1,1,1,0.00873,0.0178,1,1,0.01587,0.01587,1,Inf,1,"-Inf:Inf"
"ZNF207,PCOLCE2","medium,low","Resistant",8,7,0.8963,0.06725,0.11909,1,1,0.12698,0.11111,1,7.11111111111111,1,"0.901:56.141"
"TUFT1,GLB1L","low,low","Sensitive",11,10,0.925,0.0975,0.1816,1,1,0.17188,0.15625,1,9.84375,1,"1.298:74.651"
"RAB28,PRPF40A","low,high","Sensitive",7,6,0.85714,0.0614,0.10526,1,1,0.10938,0.09375,1,5.90625,1,"0.732:47.667"
"BPIFB1,WASF3","low,low","Resistant",10,9,0.9,0.08772,0.1579,1,1,0.15873,0.14286,1,9.14285714285714,1,"1.193:70.068"
"ZNF207,EGFR","medium,high","Resistant",9,8,0.91667,0.07675,0.13835,1,1,0.14286,0.12698,1,8.12698412698413,1,"1.047:63.101"
"SSBP1,SERINC3","medium,high","Resistant",8,7,0.875,0.07018,0.12281,1,1,0.12698,0.11111,1,7.11111111111111,1,"0.901:56.141"
"SGCE,SERINC3","medium,low","Sensitive",12,10,0.91288,0.10088,0.18593,1,1,0.1875,0.15625,1,4.921875,1,"1.123:21.574"
"PXMP4,H2AC20","low,high","Sensitive",12,10,0.91288,0.10088,0.18411,1,1,0.1875,0.15625,1,4.921875,1,"1.123:21.574"
"PXMP4,SGCE","medium,high","Resistant",10,9,0.9245,0.08491,0.15779,1,1,0.15873,0.14286,1,9.14285714285714,1,"1.193:70.068"
"SSBP1,PPP1R32","medium,medium","Resistant",8,5,0.625,0.07018,0.08929,1,1,0.12698,0.07937,1,1.69312169312169,1,"0.422:6.787"
"AQR,TUFT1","medium,low","Sensitive",7,6,0.92857,0.0614,0.11207,1,1,0.10938,0.09375,1,5.90625,1,"0.732:47.667"
"PXMP4,TUFT1","medium,low","Sensitive",11,10,0.90909,0.09649,0.17241,1,1,0.17188,0.15625,1,9.84375,1,"1.298:74.651"
"ROPN1L,CNTN3","high,medium","Resistant",6,6,1,0.05263,0.10714,1,1,0.09524,0.09524,1,Inf,1,"-Inf:Inf"
"SGCE,GLB1L","high,low","Resistant",9,8,0.94444,0.07895,0.14901,1,1,0.14286,0.12698,1,8.12698412698413,1,"1.047:63.101"
"PIGV,SERINC3","low,medium","Sensitive",7,6,0.8631,0.06373,0.11325,1,1,0.10938,0.09375,1,5.90625,1,"0.732:47.667"
"H2AC20,RPL41","high,high","Sensitive",11,10,0.90909,0.09649,0.17857,1,1,0.17188,0.15625,1,9.84375,1,"1.298:74.651"
"SSBP1,TANGO2","medium,medium","Sensitive",7,5,0.71429,0.0614,0.08929,1,1,0.10938,0.07812,1,2.4609375,1,"0.496:12.22"
"KIF21B,MSH2","low,high","Sensitive",6,6,1,0.05263,0.10714,1,1,0.09375,0.09375,1,Inf,1,"-Inf:Inf"
"SSBP1,SGCE","medium,high","Resistant",7,6,0.85714,0.0614,0.10345,1,1,0.11111,0.09524,1,6.09523809523809,1,"0.755:49.192"
"TUFT1,MSH2","low,medium","Sensitive",9,8,0.88472,0.07625,0.13944,1,1,0.14062,0.125,1,7.875,1,"1.014:61.145"
"SGCE,TANGO2","low,high","Resistant",7,6,0.85714,0.0614,0.10345,1,1,0.11111,0.09524,1,6.09523809523809,1,"0.755:49.192"
"C16orf58,TANGO2","low,medium","Sensitive",10,9,0.95,0.08333,0.16324,1,1,0.15625,0.14062,1,8.859375,1,"1.156:67.895"
"PIGV,SSBP1","low,low","Resistant",6,5,0.83333,0.05263,0.07937,1,1,0.09524,0.07937,1,5.07936507936508,1,"0.61:42.261"
"SPATA24,SPINK13","medium,medium","Sensitive",7,4,0.57143,0.0614,0.07843,1,1,0.10938,0.0625,1,1.3125,1,"0.306:5.629"
"KIF21B,C16orf58","high,low","Sensitive",11,9,0.81818,0.09649,0.17647,1,1,0.17188,0.14062,1,4.4296875,1,"0.996:19.698"
"EGFR,SPINK13","high,high","Resistant",7,7,1,0.0614,0.12963,1,1,0.11111,0.11111,1,Inf,1,"-Inf:Inf"
"TRABD,PRPF40A","medium,medium","Sensitive",8,4,0.5,0.07018,0.07407,1,1,0.125,0.0625,1,0.984375,1,"0.257:3.765"
"SGCE,PCOLCE2","medium,high","Sensitive",6,6,1,0.05263,0.1,1,1,0.09375,0.09375,1,Inf,1,"-Inf:Inf"
"WASF3,EGFR","high,high","Resistant",6,5,0.91667,0.04768,0.0894,1,1,0.09524,0.07937,1,5.07936507936508,1,"0.61:42.261"
"AQR,EGFR","high,high","Resistant",5,5,1,0.04386,0.09259,1,1,0.07937,0.07937,1,Inf,1,"-Inf:Inf"
"ROPN1L,MSH2","medium,high","Sensitive",7,7,1,0.0614,0.11667,1,1,0.10938,0.10938,1,Inf,1,"-Inf:Inf"
"ZNF207,MSH2","low,high","Sensitive",7,6,0.85714,0.0614,0.1,1,1,0.10938,0.09375,1,5.90625,1,"0.732:47.667"
"AQR,RAB28","low,high","Sensitive",7,6,0.85714,0.0614,0.1,1,1,0.10938,0.09375,1,5.90625,1,"0.732:47.667"
"ZNF207,SERINC3","medium,medium","Sensitive",9,6,0.66667,0.07895,0.1,1,1,0.14062,0.09375,1,1.96875,1,"0.515:7.53"
"INTS6,MSH2","medium,high","Sensitive",10,9,0.9,0.08772,0.15,1,1,0.15625,0.14062,1,8.859375,1,"1.156:67.895"
"LARP4,PCOLCE2","low,low","Resistant",9,8,0.88889,0.07895,0.14815,1,1,0.14286,0.12698,1,8.12698412698413,1,"1.047:63.101"
"RAB28,TRIM38","high,medium","Sensitive",6,6,1,0.05263,0.1,1,1,0.09375,0.09375,1,Inf,1,"-Inf:Inf"
"SSBP1,AC116913.1","low,medium","Resistant",7,7,1,0.0614,0.12963,1,1,0.11111,0.11111,1,Inf,1,"-Inf:Inf"
"MSH2,TRIM38","high,medium","Sensitive",7,7,1,0.0614,0.11667,1,1,0.10938,0.10938,1,Inf,1,"-Inf:Inf"
"PIGV,INTS6","high,high","Resistant",9,7,0.77778,0.07895,0.12963,1,1,0.14286,0.11111,1,3.55555555555556,1,"0.768:16.461"
"PXMP4,SSBP1","high,low","Resistant",10,9,0.9,0.08772,0.16071,1,1,0.15873,0.14286,1,9.14285714285714,1,"1.193:70.068"
"BPIFB1,SGCE","low,high","Resistant",9,8,0.88889,0.07895,0.14286,1,1,0.14286,0.12698,1,8.12698412698413,1,"1.047:63.101"
"GLB1L,PCOLCE2","medium,medium","Sensitive",7,7,1,0.0614,0.12069,1,1,0.10938,0.10938,1,Inf,1,"-Inf:Inf"
"TUFT1,SPINK13","low,low","Sensitive",7,6,0.85714,0.0614,0.10345,1,1,0.10938,0.09375,1,5.90625,1,"0.732:47.667"
"TUFT1,PPP1R32","medium,medium","Sensitive",6,5,0.83333,0.05128,0.08475,1,1,0.09375,0.07812,1,4.921875,1,"0.592:40.95"
"SGCE,PCDH7","high,low","Resistant",4,4,1,0.03419,0.06897,1,1,0.06349,0.06349,1,Inf,1,"-Inf:Inf"
"EGFR,H2AC20","high,high","Resistant",4,4,1,0.03419,0.06897,1,1,0.06349,0.06349,1,Inf,1,"-Inf:Inf"
