"gene_ensembl","gene_symbol"
"ENSG00000066405","CLDN18"
"ENSG00000092969","TGFB2"
"ENSG00000095002","MSH2"
"ENSG00000097033","SH3GLB1"
"ENSG00000100416","TRMU"
"ENSG00000105723","GSK3A"
"ENSG00000110367","DDX6"
"ENSG00000112343","TRIM38"
"ENSG00000113805","CNTN3"
"ENSG00000127990","SGCE"
"ENSG00000132824","SERINC3"
